element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Br,1,127.9477,0.0004,127.94795+,1000,,,3685.24,81842.02,4s2.4p5,2P*,1/2,4s2.4p4.(3P<2>).4d,2[2],3/2,,,L351,
Br,4,128.3148,0.0010,128.3163+,20,,,142409.6,220342.0,4s.4p3,3P,2,4s2.4p.5p,3D,3,,,L1157,
Br,1,128.6259,0.0004,128.62608+,1000,,,3685.24,81429.97,4s2.4p5,2P*,1/2,4s2.4p4.(3P<2>).4d,2[0],1/2,,,L351,
Br,4,130.2667,0.0010,130.2721+,150,,,142071.6,218834.0,4s.4p3,3P,1,4s2.4p.5p,3P,1,,,L1157,
Br,4,130.8546,0.0010,130.8483+,500,,,142409.6,218834.0,4s.4p3,3P,2,4s2.4p.5p,3P,1,,,L1157,
Br,4,130.9903,0.0010,130.9840+,800,,,139702.3,216047.5,4s.4p3,3P,0,4s2.4p.5p,3D,1,,,L1157,
Br,1,130.9908,0.0004,130.99094+,3000,,,3685.24,80026.40,4s2.4p5,2P*,1/2,4s2.4p4.(3P<2>).4d,2[1],1/2,,,L351,
Br,3,131.35,0.10,,250,,,,,,,,,,,,,L7483,
Br,1,131.6735,0.0004,131.67349+,3000,,,3685.24,79630.67,4s2.4p5,2P*,1/2,4s2.4p4.(3P<2>).4d,2[1],3/2,,,L351,
Br,1,131.7372,0.0004,131.73750+,1000,2.8e+07,E,0.00,75908.53,4s2.4p5,2P*,3/2,4s2.4p4.(1D<2>).5s,2[2],3/2,,T8844,L351,
Br,1,131.7695,0.0004,131.76909+,2000,1.0e+09,E,0.00,75890.33,4s2.4p5,2P*,3/2,4s2.4p4.(1D<2>).5s,2[2],5/2,,T8844,L351,
Br,4,134.4705,0.0010,134.475+,300,,,142071.6,216434.6,4s.4p3,3P,1,4s2.4p.5p,3D,2,,,L1157,
Br,4,135.1677,0.0010,135.179+,200,,,142071.6,216047.5,4s.4p3,3P,1,4s2.4p.5p,3D,1,,,L1157,
Br,4,135.7912,0.0010,135.800+,120,,,142409.6,216047.5,4s.4p3,3P,2,4s2.4p.5p,3D,1,,,L1157,
Br,4,137.9231,0.0010,137.930+,20,,,143933.8,216434.6,4s.4p3,1D,2,4s2.4p.5p,3D,2,,,L1157,
