element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ga,4,54.5980,0.0010,54.598+,20,,,230040.0,413198,3d9.4p,3F*,2,3d9.5d,3D,2,,,L12180,
Ga,4,54.6143,0.0010,54.614+,20,,,229140.3,412243,3d9.4p,3P*,0,3d9.5d,3P,1,,,L12180,
Ga,4,54.6528,0.0010,54.65*,30*,,,230040.0,413010,3d9.4p,3F*,2,3d9.5d,3D,1,,,L12180,
Ga,4,54.6528,0.0010,54.653+,30*,,,233824.7,416796,3d9.4p,1D*,2,3d9.6s,"(3/2,1/2)",1,,,L12180,
Ga,4,54.6618,0.0010,54.662+,30,,,227320.4,410264,3d9.4p,3P*,1,3d9.5d,1D,2,,,L12180,
Ga,4,54.6944,0.0010,54.695+,4,,,236906.5,419737,3d9.4p,3D*,1,3d9.5d,1S,0,,,L12180,
Ga,4,54.7156,0.0010,54.716+,40,,,230040.0,412803,3d9.4p,3F*,2,3d9.5d,3G,3,,,L12180,
Ga,4,54.7700,0.0010,54.770+,15,,,227681.2,410264,3d9.4p,3F*,3,3d9.5d,1D,2,,,L12180,
Ga,4,54.8169,0.0010,54.817+,35,,,227681.2,410107,3d9.4p,3F*,3,3d9.5d,1F,3,,,L12180,
Ga,4,54.9323,0.0010,54.932+,45,,,234939.5,416982,3d9.4p,3D*,3,3d9.6s,"(3/2,1/2)",2,,,L12180,
Ga,4,55.0551,0.0010,55.055+,10,,,227681.2,409319,3d9.4p,3F*,3,3d9.5d,3P,2,,,L12180,
Ga,4,55.0668,0.0010,55.07*,45,,,227681.2,409280,3d9.4p,3F*,3,3d9.5d,3G,4,,,L12180,
Ga,4,55.1670,0.0010,55.17*,35,,,228952.8,410220,3d9.4p,3F*,4,3d9.5d,3F,4,,,L12180,
Ga,4,55.2014,0.0010,55.202+,10,,,228952.8,410107,3d9.4p,3F*,4,3d9.5d,1F,3,,,L12180,
Ga,4,55.3219,0.0010,55.321+,35,,,228952.8,409716,3d9.4p,3F*,4,3d9.5d,3D,3,,,L12180,
Ga,4,55.3485,0.0010,55.350+,40,,,236311.9,416982,3d9.4p,1P*,1,3d9.6s,"(3/2,1/2)",2,,,L12180,
Ga,4,55.3588,0.0010,55.359+,40,,,233192.3,413832,3d9.4p,1F*,3,3d9.5d,3F,3,,,L12180,
Ga,4,55.4878,0.0010,55.487+,30,,,230040.0,410264,3d9.4p,3F*,2,3d9.5d,1D,2,,,L12180,
Ga,4,55.4920,0.0010,55.492+,100,,,228952.8,409158,3d9.4p,3F*,4,3d9.5d,3G,5,,,L12180,
Ga,4,55.5329,0.0010,55.535+,100bl*,,,230040.0,410107,3d9.4p,3F*,2,3d9.5d,1F,3,,,L12180,
Ga,4,55.5329,0.0010,55.532+,100bl*,,,236906.5,416982,3d9.4p,3D*,1,3d9.6s,"(3/2,1/2)",2,,,L12180,
Ga,4,55.5329,0.0010,55.532+,100bl*,,,233824.7,413902,3d9.4p,1D*,2,3d9.5d,3F,2,,,L12180,
Ga,4,55.5563,0.0010,55.557+,40d*,,,233192.3,413187,3d9.4p,1F*,3,3d9.6s,"(5/2,1/2)",3,,,L12180,
Ga,4,55.5563,0.0010,55.553+,40d*,,,233824.7,413832,3d9.4p,1D*,2,3d9.5d,3F,3,,,L12180,
Ga,4,55.5910,0.0010,55.592+,50*,,,233192.3,413074,3d9.4p,1F*,3,3d9.5d,1G,4,,,L12180,
Ga,4,55.5910,0.0010,55.590+,50*,,,236906.5,416796,3d9.4p,3D*,1,3d9.6s,"(3/2,1/2)",1,,,L12180,
Ga,4,55.6055,0.0010,55.606+,30,,,233824.7,413661,3d9.4p,1D*,2,3d9.6s,"(5/2,1/2)",2,,,L12180,
Ga,4,55.6759,0.0010,55.676+,10,,,233192.3,412803,3d9.4p,1F*,3,3d9.5d,3G,3,,,L12180,
Ga,4,55.7021,0.0010,55.703+,50,,,237458.0,416982,3d9.4p,3D*,2,3d9.6s,"(3/2,1/2)",2,,,L12180,
Ga,4,55.7509,0.0010,55.753+,40,,,233824.7,413187,3d9.4p,1D*,2,3d9.6s,"(5/2,1/2)",3,,,L12180,
Ga,4,55.7593,0.0010,55.761+,40,,,237458.0,416796,3d9.4p,3D*,2,3d9.6s,"(3/2,1/2)",1,,,L12180,
Ga,4,55.7849,0.0010,55.784+,5,,,230040.0,409303,3d9.4p,3F*,2,3d9.5d,1P,1,,,L12180,
Ga,4,55.8730,0.0010,55.873+,35,,,233824.7,412803,3d9.4p,1D*,2,3d9.5d,3G,3,,,L12180,
Ga,4,55.8768,0.0010,55.878+,20,,,234939.5,413902,3d9.4p,3D*,3,3d9.5d,3F,2,,,L12180,
Ga,4,55.8994,0.0010,55.899+,4,,,234939.5,413832,3d9.4p,3D*,3,3d9.5d,3F,3,,,L12180,
Ga,4,56.1376,0.0010,56.137+,45,,,234939.5,413074,3d9.4p,3D*,3,3d9.5d,1G,4,,,L12180,
Ga,4,56.2238,0.0010,56.223+,10,,,234939.5,412803,3d9.4p,3D*,3,3d9.5d,3G,3,,,L12180,
Ga,4,56.3099,0.0010,56.309+,30,,,236311.9,413902,3d9.4p,1P*,1,3d9.5d,3F,2,,,L12180,
