element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Al,1,344.3640,344.3640,0.0010,9g,,,112.061,29142.78,3s2.3p,2P*,3/2,3s.3p2,4P,5/2,,,L4737,
Al,1,344.4865,344.4863,0.0010,6g,,,0.000,29020.41,3s2.3p,2P*,1/2,3s.3p2,4P,1/2,,,L4737,
Al,4,345.2159,345.216,0.010,50,,,824080.0,853039.1,2s2.2p5.(2P*<3/2>).4p,2[5/2],3,2s2.2p5.(2P*<3/2>).4d,2[7/2]*,3,,,L2829,
Al,1,345.2657,345.2658,0.0010,2g,,,112.061,29066.96,3s2.3p,2P*,3/2,3s.3p2,4P,3/2,,,L4737,
Al,1,345.8216,345.8145,0.0010,6g*,,,44168.847,73077.8,3s2.5d,2D,5/2,3s.3p.(3P*).3d,2F*,7/2,,,L4737,
Al,1,345.8216,345.8218,0.0010,6g*,,,112.061,29020.41,3s2.3p,2P*,3/2,3s.3p2,4P,1/2,,,L4737,
Al,2,346.363,346.3603,0.0010,5,,,121483.50,150346.9,3s.4d,3D,3,3s.17f,3F*,4,,,L3471,
Al,1,346.980,346.9722,0.0010,1,,,44166.398,72978.9,3s2.5d,2D,3/2,3s.3p.(3P*).3d,2F*,5/2,,,L3514,
Al,4,347.3536,347.353,0.010,500,,,827844.9,856625.8,2s2.2p5.(2P*<1/2>).4p,2[3/2],1,2s2.2p5.(2P*<1/2>).4d,2[5/2]*,2,,,L2829,
Al,1,347.9806,347.98083,0.00010,5,,,38933.968,67662.959,3s2.nd,y 2D,5/2,3s.3p.(3P*).3d,2D*,5/2,,,L4737,
Al,1,348.2628,348.26300,0.00010,5,,,38929.413,67635.128,3s2.nd,y 2D,3/2,3s.3p.(3P*).3d,2D*,3/2,,,L4737,
Al,4,349.2226,349.223,0.010,900,,,824080.0,852706.8,2s2.2p5.(2P*<3/2>).4p,2[5/2],3,2s2.2p5.(2P*<3/2>).4d,2[7/2]*,4,,,L2829,
Al,4,350.8457,350.846,0.010,800,,,824544.7,853039.1,2s2.2p5.(2P*<3/2>).4p,2[5/2],2,2s2.2p5.(2P*<3/2>).4d,2[7/2]*,3,,,L2829,
Al,4,351.1284,351.128,0.010,500,,,825277.9,853749.4,2s2.2p5.(2P*<3/2>).4p,2[3/2],1,2s2.2p5.(2P*<3/2>).4d,2[5/2]*,2,,,L2829,
Al,2,351.605,351.6059,0.0010,2,,,121483.50,149916.3,3s.4d,3D,3,3s.15f,3F*,4,,,L3471,
Al,4,351.7556,351.756,0.010,700,,,828439.2,856859.9,2s2.2p5.(2P*<1/2>).4p,2[3/2],2,2s2.2p5.(2P*<1/2>).4d,2[5/2]*,3,,,L2829,
Al,4,351.9638,351.964,0.010,5,,,828439.2,856843.1,2s2.2p5.(2P*<1/2>).4p,2[3/2],2,2s2.2p5.(2P*<1/2>).4d,2[3/2]*,2,,,L2829,
Al,4,352.7034,352.704,0.010,400,,,828498.8,856843.1,2s2.2p5.(2P*<1/2>).4p,2[1/2],1,2s2.2p5.(2P*<1/2>).4d,2[3/2]*,2,,,L2829,
Al,2,353.4856,353.4851,0.0010,5,8.11e+05,C,111637.33,139918.98,3p2,1S,0,3s.7p,1P*,1,,T6533,L4575,
Al,4,354.1076,354.108,0.010,500,,,825739.6,853971.5,2s2.2p5.(2P*<3/2>).4p,2[3/2],2,2s2.2p5.(2P*<3/2>).4d,2[5/2]*,3,,,L2829,
Al,4,354.6770,354.677,0.010,10,,,828439.2,856625.8,2s2.2p5.(2P*<1/2>).4p,2[3/2],2,2s2.2p5.(2P*<1/2>).4d,2[5/2]*,2,,,L2829,
Al,2,355.200,355.1951,0.0010,3,,,121483.50,149629.0,3s.4d,3D,3,3s.14f,3F*,4,,,L3471,
Al,2,358.6557,358.6557,0.0010,200,2.35e+08,A,95549.42,123423.36,3s.3d,3D,3,3s.4f,3F*,4,,"T6298c4,LS",L3515,
Al,2,358.6708,358.6697,0.0010,15,,,95550.51,123423.36,3s.3d,3D,2,3s.4f,3F*,4,,,L3515,
Al,2,358.6811,358.6817,0.0010,2,,,95551.44,123423.36,3s.3d,3D,1,3s.4f,3F*,4,,,L3515,
Al,2,358.6912,358.6931+,0.0018,50,,,95549.42,123420.45,3s.3d,3D,3,3s.4f,3F*,3,,,L3515c14,
Al,2,358.6920,358.6931,0.0010,75hfs,2.62e+07,B,95549.42,123420.45,3s.3d,3D,3,3s.4f,3F*,3,,"T6298c4,LS",L3515c150,
Al,2,358.6936,358.6931+,0.0018,25,,,95549.42,123420.45,3s.3d,3D,3,3s.4f,3F*,3,,,L3515c14,
Al,2,358.7068,358.7072,0.0010,100,2.09e+08,B+,95550.51,123420.45,3s.3d,3D,2,3s.4f,3F*,3,,"T6298c4,LS",L3515,
Al,2,358.7165,358.7185+,0.0018,5,,,95549.42,123418.48,3s.3d,3D,3,3s.4f,3F*,2,,,L3515c14,
Al,2,358.7185,358.7185,0.0010,15hfs,1.03e+06,C,95549.42,123418.48,3s.3d,3D,3,3s.4f,3F*,2,,"T6298c4,LS",L3515c150,
Al,2,358.7195,358.7185+,0.0018,10,,,95549.42,123418.48,3s.3d,3D,3,3s.4f,3F*,2,,,L3515c14,
Al,2,358.7309,358.7325+,0.0018,30,,,95550.51,123418.48,3s.3d,3D,2,3s.4f,3F*,2,,,L3515c14,
Al,2,358.7330,358.7325,0.0010,80hfs,3.66e+07,B,95550.51,123418.48,3s.3d,3D,2,3s.4f,3F*,2,,"T6298c4,LS",L3515c150,
Al,2,358.7342,358.7325+,0.0018,50,,,95550.51,123418.48,3s.3d,3D,2,3s.4f,3F*,2,,,L3515c14,
Al,2,358.7450,358.7445,0.0010,70,1.97e+08,B+,95551.44,123418.48,3s.3d,3D,1,3s.4f,3F*,2,,"T6298c4,LS",L4575,
Al,2,359.750,359.7455,0.0010,4,,,121483.50,149273.0,3s.4d,3D,3,3s.13f,3F*,4,,,L3471,
