element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Sb,1,403.35367,403.35367,0.00010,200,,,18464.202,43249.337,5p3,2P*,3/2,5p2.(3P).6s,4P,1/2,,,L10083,
Sb,2,413.363,413.363+,0.024,20,,,88259.7,112444.7,5s2.5p.5d,3D*,3,5s2.5p.4f,1G,4,,,"L3304,L16370",
Sb,2,414.054,414.061+,0.024,15,,,66502.3,90646.5,5s.5p3,3D*,2,5s2.5p.6p,3P,1,,,"L3304,L16370",
Sb,2,419.517,419.512+,0.025,15,,,67887.5,91718.0,5s.5p3,3D*,3,5s2.5p.6p,3P,2,,,"L3304,L16370",
Sb,2,421.907,421.90+,0.03,20,,,67887.5,91583.2,5s.5p3,3D*,3,5s2.5p.6p,3D,3,,,"L3304,L16370",
Sb,3,426.509,,,40,,,,,,,,,,,,,L3303,
Sb,2,431.432,431.43+,0.03,20,,,88259.7,111432.0,5s2.5p.5d,3D*,3,5s2.5p.4f,3G,4,,,"L3304,L16370",
Sb,2,434.483,434.48+,0.03,12,,,88259.7,111269.0,5s2.5p.5d,3D*,3,5s2.5p.4f,3G,3,,,"L3304,L16370",
Sb,3,435.216,,,50,,,,,,,,,,,,,L3303,
Sb,2,441.142,441.13+,0.03,12*,,,104722.7,127385.2,5s2.5p.6d,3D*,2,5s.5p2.(4P).6s,3P,1,,,"L3304,L16370",
Sb,2,441.142,441.15+,0.03,12*,,,90323.2,112984.9,5s2.5p.5d,1P*,1,5s2.5p.4f,3D,1,,,"L3304,L16370",
Sb,2,444.648,444.65+,0.03,12,,,91360.1,113843.2,5s2.5p.5d,3P*,1,5s2.5p.7p,3P,2,,,"L3304,L16370",
Sb,2,450.692,450.68+,0.03,12,,,69535.7,91718.0,5s2.5p.6s,3P*,1,5s2.5p.6p,3P,2,,,"L3304,L16370",
Sb,2,451.450,,,15,,,,,,,,,,,,,"L3304,L16370",
Sb,3,459.189,,,30,,,,,,,,,,,,,L3303,
Sb,2,459.690,,,30,,,,,,,,,,,,,"L3304,L16370",
Sb,2,459.909,459.92+,0.03,20,,,90323.2,112060.0,5s2.5p.5d,1P*,1,5s2.5p.4f,1D,2,,,"L3304,L16370",
Sb,2,460.477,,,15,,,,,,,,,,,,,L3304,
Sb,2,464.7316,,,30,,,,,,,,,,,,,"L3304,L16370",
Sb,2,467.5745,,,20,,,,,,,,,,,,,"L3304,L16370",
Sb,3,469.291,,,30,,,,,,,,,,,,,L3303,
Sb,2,471.126,471.13+,0.03,40,,,91225.0,112444.7,5s2.5p.5d,1F*,3,5s2.5p.4f,1G,4,,,L3304,
Sb,2,473.544,473.56+,0.03,12,,,69535.7,90646.5,5s2.5p.6s,3P*,1,5s2.5p.6p,3P,1,,,L3304,
Sb,1,475.781,475.77494,0.00016,20,,,45945.340,66957.805,5p2.(3P).6s,4P,3/2,5p2.(3P<2>).7p,"(2,3/2)*",3/2,,,L3304,
Sb,2,475.781,,,20,,,,,,,,,,,,,L3304,
Sb,2,476.536,,,20,,,,,,,,,,,,,L3304,
Sb,2,476.691,,,12,,,,,,,,,,,,,L3304,
Sb,2,478.403,478.42+,0.03,30,,,83826.4,104722.7,5s2.5p.6p,3D,1,5s2.5p.6d,3D*,2,,,L3304,
Sb,2,480.201,480.20+,0.03,20,,,91241.3,112060.0,5s2.5p.5d,3P*,2,5s2.5p.4f,1D,2,,,"L3304,L16370",
Sb,2,483.282,483.29+,0.03,20,,,91241.3,111927.1,5s2.5p.5d,3P*,2,5s2.5p.4f,3D,3,,,L3304,
Sb,2,487.724,487.74+,0.03,20,,,85094.1,105591.1,5s2.5p.5d,3D*,1,5s2.5p.4f,3F,2,,,"L3304,L16370",
Sb,2,494.740,494.74+,0.03,15,,,91225.0,111432.0,5s2.5p.5d,1F*,3,5s2.5p.4f,3G,4,,,L3304,
Sb,2,504.456,,,15,,,,,,,,,,,,,L3304,
Sb,2,516.632,,,12,,,,,,,,,,,,,"L3304,L16370",
Sb,2,517.655,,,15,,,,,,,,,,,,,L3304,
Sb,2,523.894,,,20,,,,,,,,,,,,,"L3304,L16370",
Sb,3,524.771,,,1,,,,,,,,,,,,,L3303,
Sb,2,535.424,,,20,,,,,,,,,,,,,L3304,
Sb,2,546.408,546.41+,0.04,15,,,67887.5,86183.6,5s.5p3,3D*,3,5s2.5p.6p,3D,2,,,"L3304,L16370",
