element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),J_i,J_k,Type,tp_ref,line_ref,
U,1,578.059,,70,,,,,,,,,L3475,
U,2,579.853,,70,,,,,,,,,L3475,
U,1,583.602,,45,,,,,,,,,L3475,
U,2,583.768,,55,,,,,,,,,L3475,
U,1,591.539,,230,,,,,,,,,L3475,
U,1,597.150,,55,,,,,,,,,L3475,
U,1,597.632,,100,,,,,,,,,L3475,
U,1,599.731,,45,,,,,,,,,L3475,
U,2,601.738,,28,,,,,,,,,L3475,
U,2,605.174,,55,,,,,,,,,L3475,
U,2,606.722,,45,,,,,,,,,L3475,
U,1,607.729,,90,,,,,,,,,L3475,
U,2,608.734,,28,,,,,,,,,L3475,
U,1,617.186,,40,,,,,,,,,L3475,
U,1,617.539,,35,,,,,,,,,L3475,
U,2,628.018,,28,,,,,,,,,L3475,
U,1,635.929,,28,,,,,,,,,L3475,
U,1,637.246,,55,,,,,,,,,L3475,
U,2,637.852,,28,,,,,,,,,L3475,
U,1,639.277,,28,,,,,,,,,L3475,
U,1,639.542,,90,,,,,,,,,L3475,
U,1,644.916,,110,,,,,,,,,L3475,
U,1,646.498,,35,,,,,,,,,L3475,
U,1,682.692,,90,,,,,,,,,L3475,
U,2,687.674,,35,,,,,,,,,L3475,
U,1,707.479,,23,,,,,,,,,L3475,
U,1,710.161,,27,,,,,,,,,L3475,
U,1,712.890,,30,,,,,,,,,L3475,
U,1,714.789,,16,,,,,,,,,L3475,
U,1,725.445,,16,,,,,,,,,L3475,
U,1,742.550,,23,,,,,,,,,L3475,
U,1,753.393,,45,,,,,,,,,L3475,
U,1,761.935,,16,,,,,,,,,L3475,
U,1,788.194,,50,,,,,,,,,L3475,
U,1,797.046,,18,,,,,,,,,L3475,
U,1,817.466,,16,,,,,,,,,L3475,
U,1,826.206,,18,,,,,,,,,L3475,
U,1,831.835,,16,,,,,,,,,L3475,
U,2,833.750,,16,,,,,,,,,L3475,
U,1,838.187,,18,,,,,,,,,L3475,
U,1,844.121,,16,,,,,,,,,L3475,
U,1,844.539,,35,,,,,,,,,L3475,
U,1,845.003,,18,,,,,,,,,L3475,
U,1,857.052,,16,,,,,,,,,L3475,
U,1,860.795,,75,,,,,,,,,L3475,
U,1,869.128,,23,,,,,,,,,L3475,
U,1,871.076,,18,,,,,,,,,L3475,
U,1,875.369,,18,,,,,,,,,L3475,
U,1,875.776,,30,,,,,,,,,L3475,
U,1,895.196,,16,,,,,,,,,L3475,
U,1,898.992,,16,,,,,,,,,L3475,
U,1,909.367,,10,,,,,,,,,u10,
U,1,913.956,,10,,,,,,,,,u10,
U,1,920.151,,10,,,,,,,,,u10,
U,1,926.534,,10,,,,,,,,,u10,
U,1,927.644,,10,,,,,,,,,u10,
U,1,938.590,,10,,,,,,,,,u10,
U,1,965.326,,10,,,,,,,,,u10,
U,1,981.900,,10,,,,,,,,,u10,
U,1,981.905,,10,,,,,,,,,u10,
U,1,986.836,,10,,,,,,,,,u10,
U,1,993.276,,10,,,,,,,,,u10,
U,1,996.411,,10,,,,,,,,,u10,
U,1,1015.791,,50,,,,,,,,,u10,
U,1,1025.955,,50,,,,,,,,,u10,
U,1,1055.493,,100,,,,,,,,,u10,
U,1,1079.978,,50,,,,,,,,,u10,
U,1,1082.393,,25,,,,,,,,,u10,
U,1,1109.577,,25,,,,,,,,,u10,
U,1,1116.784,,75,,,,,,,,,u10,
U,1,1129.413,,50,,,,,,,,,u10,
U,1,1138.413,,100,,,,,,,,,u10,
U,1,1141.043,,25,,,,,,,,,u10,
U,1,1150.338,,50,,,,,,,,,u10,
U,1,1156.881,,25,,,,,,,,,u10,
U,2,1178.472,,20,,,,,,,,,u10,
U,1,1185.942,,100,,,,,,,,,u10,
U,1,1190.883,,100,,,,,,,,,u10,
U,1,1225.046,,100,,,,,,,,,u10,
U,1,1308.828,,25,,,,,,,,,u10,
U,1,1318.516,,100,,,,,,,,,u10,
U,1,1330.623,,75,,,,,,,,,u10,
U,1,1396.158,,100,,,,,,,,,u10,
U,1,1690.600,,50,,,,,,,,,u10,
U,1,1745.111,,50,,,,,,,,,u10,
U,1,1813.665,,50,,,,,,,,,u10,
U,1,1836.696,,50,,,,,,,,,u10,
U,1,1863.443,,75,,,,,,,,,u10,
U,1,1902.939,,25,,,,,,,,,u10,
element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),J_i,J_k,Type,tp_ref,line_ref,
U,1,2020.664,,10,,,,,,,,,u10,
U,1,2027.694,,10,,,,,,,,,u10,
U,1,2037.969,,10,,,,,,,,,u10,
U,1,2052.289,,10,,,,,,,,,u10,
U,1,2069.629,,10,,,,,,,,,u10,
U,1,2077.786,,10,,,,,,,,,u10,
U,1,2101.411,,10,,,,,,,,,u10,
U,1,2110.574,,10,,,,,,,,,u10,
U,1,2111.790,,10,,,,,,,,,u10,
U,2,2115.067,,20,,,,,,,,,u10,
U,1,2168.043,,10,,,,,,,,,u10,
U,1,2169.930,,10,,,,,,,,,u10,
U,1,2191.620,,75,,,,,,,,,u10,
U,1,2211.676,,10,,,,,,,,,u10,
U,1,2316.308,,10,,,,,,,,,u10,
U,1,2395.472,,10,,,,,,,,,u10,
U,1,2956.513,,10,,,,,,,,,u10,

