element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Mg,2,821.3989,821.3987,0.0010,10,2.65e+07,A,80619.50,92790.51,2p6.4p,2P*,1/2,2p6.5s,2S,1/2,,"c31,T6870",L7414,
Mg,2,822.2924,822.2905,0.0010,7*,,,103689.86,115847.67,2p6.5f,2F*,5/2,2p6.9g,2G,7/2,,,L7414,
Mg,2,822.2924,822.2946,0.0010,7*,,,103689.92,115847.67,2p6.5f,2F*,7/2,2p6.9g,2G,9/2,,,L7414,
Mg,2,823.3194,823.3192,0.0010,7,,,103705.66,115848.28,2p6.5g,2G,9/2,2p6.9h,2H*,11/2,,,L7414,
Mg,2,823.4639,823.4636,0.0010,11,5.29e+07,A,80650.02,92790.51,2p6.4p,2P*,3/2,2p6.5s,2S,1/2,,"c31,T6870",L7414,
Mg,1,830.3313,830.3313,0.0010,7,5.16e+05,E,47841.119,59881.196,3s.4p,3P*,0,3s.8d,3D,1,,"T6298c72,LS",L6095,
Mg,1,830.5596,830.5596,0.0010,9,9.28e+05,C+,47844.414,59881.181,3s.4p,3P*,1,3s.8d,3D,2,,T5539,L6095,
Mg,1,831.0264,831.0264,0.0010,10,9.24e+05,D+,47851.162,59881.168,3s.4p,3P*,2,3s.8d,3D,3,,"T6298c72,LS",L6095,
Mg,1,834.6120,834.6106,0.0010,15*,1.02e+06,D+,47957.027,59935.370,3s.3d,3D,2,3s.8f,3F*,3,,"T6298c72,LS",L6095,
Mg,1,834.6120,834.6119,0.0010,15*,1.15e+06,D+,47957.045,59935.370,3s.3d,3D,3,3s.8f,3F*,4,,"T6298c72,LS",L6095,
Mg,1,834.6120,834.6128,0.0010,15*,9.59e+05,D,47957.058,59935.370,3s.3d,3D,1,3s.8f,3F*,2,,"T6298c72,LS",L6095,
Mg,1,846.6483,846.6486,0.0010,2,,,47841.119,59649.15,3s.4p,3P*,0,3s.9s,3S,1,,,L6095,
Mg,1,846.8845,846.8849,0.0010,5,,,47844.414,59649.15,3s.4p,3P*,1,3s.9s,3S,1,,,L6095,
Mg,1,847.3694,847.3693,0.0010,7,,,47851.162,59649.15,3s.4p,3P*,2,3s.9s,3S,1,,,L6095,
Mg,1,860.971,860.973,0.010,3d,,,49346.729,60958.31,3s.4p,1P*,1,3s.13d,1D,2,,,L4832,
Mg,1,870.714,870.713,0.010,5,,,49346.729,60828.41,3s.4p,1P*,1,3s.12d,1D,2,,,L4832,
Mg,1,871.0175,871.0174,0.0010,10,7.97e+05,D,47841.119,59318.793,3s.4p,3P*,0,3s.7d,3D,1,,"T6298c72,LS",L6095,
Mg,1,871.2689,871.2689,0.0010,12,1.07e+06,D+,47844.414,59318.775,3s.4p,3P*,1,3s.7d,3D,2,,"T6298c72,LS",L6095,
Mg,1,871.7825,871.7825,0.0010,13,1.43e+06,D+,47851.162,59318.764,3s.4p,3P*,2,3s.7d,3D,3,,"T6298c72,LS",L6095,
Mg,2,873.4990,873.4980,0.0010,10,5.34e+06,A,97455.12,108900.20,2p6.5p,2P*,1/2,2p6.6d,2D,3/2,,c31,L7414,
Mg,1,873.6021,873.6006,0.0010,17*,1.62e+06,D+,47957.027,59400.763,3s.3d,3D,2,3s.7f,3F*,3,,"T6298c72,LS",L6095,
Mg,1,873.6021,873.6020,0.0010,17*,1.83e+06,C,47957.045,59400.763,3s.3d,3D,3,3s.7f,3F*,4,,"T6298c72,LS",L6095,
Mg,1,873.6021,873.6029,0.0010,17*,1.54e+06,D+,47957.058,59400.763,3s.3d,3D,1,3s.7f,3F*,2,,"T6298c72,LS",L6095,
Mg,2,874.5657,874.5663,0.0010,11,6.37e+06,A,97468.92,108900.02,2p6.5p,2P*,3/2,2p6.6d,2D,5/2,,c31,L7414,
Mg,1,880.6757,880.6756,0.0010,50,1.27e+07,A,35051.264,46403.065,3s.3p,1P*,1,3s.3d,1D,2,,c45,L6095,
Mg,2,882.4323,882.4318,0.0010,10,3.69e+06,B+,97455.12,108784.33,2p6.5p,2P*,1/2,2p6.7s,2S,1/2,,c31,L7414,
Mg,2,883.5082,883.5080,0.0010,11,7.36e+06,B+,97468.92,108784.33,2p6.5p,2P*,3/2,2p6.7s,2S,1/2,,c31,L7414,
Mg,1,883.705,883.699,0.010,5d,,,49346.729,60659.69,3s.4p,1P*,1,3s.11d,1D,2,,,L4832,
Mg,1,892.3569,892.3569,0.0010,20,5.86e+05,B,43503.333,54706.536,3s.4s,1S,0,3s.5p,1P*,1,,T5539,L6095,
Mg,1,898.9026,898.9028,0.0010,7,,,47841.119,58962.739,3s.4p,3P*,0,3s.8s,3S,1,,,L6095,
Mg,1,899.1692,899.1692,0.0010,9,,,47844.414,58962.739,3s.4p,3P*,1,3s.8s,3S,1,,,L6095,
Mg,1,899.7156,899.7153,0.0010,10,,,47851.162,58962.739,3s.4p,3P*,2,3s.8s,3S,1,,,L6095,
Mg,1,901.601,901.598,0.010,6,,,49346.729,60435.099,3s.4p,1P*,1,3s.10d,1D,2,,,L4832,
Mg,2,921.8248,921.8250,0.0010,14,3.64e+07,A+,69804.95,80650.02,2p6.4s,2S,1/2,2p6.4p,2P*,3/2,,"c31,T6870,c23",L7414,
Mg,2,924.4266,924.4265,0.0010,13,3.61e+07,A+,69804.95,80619.50,2p6.4s,2S,1/2,2p6.4p,2P*,1/2,,"c31,T6870,c23",L7414,
